Poczatek gry. (26.10.2015 10:7)
Gracz,Tura,Dochod,Czas
1,1,3,63
2,1,3,19
1,2,3,74
2,2,3,18
1,3,3,158
2,3,3,10
1,4,3,154
2,4,3,9
1,5,3,142
2,5,3,13
1,6,3,230
2,6,3,20
1,7,3,225
2,7,3,8
1,8,3,208
2,8,3,9
1,9,3,168
2,9,3,17
1,10,5,139
2,10,3,21
1,11,5,118
2,11,5,9
1,12,5,75
2,12,5,11
1,13,5,83
2,13,5,20
1,14,5,112
2,14,5,9
1,15,5,318
2,15,5,20
1,16,5,686
2,16,5,19
1,17,5,1262
2,17,3,9
1,18,5,2550
2,18,3,21
1,19,5,1940
2,19,3,19
1,20,5,2316
2,20,3,9
1,21,5,2451
2,21,8,9
1,22,5,1857
2,22,3,18
1,23,5,2460
2,23,3,19
1,24,10,1411
2,24,3,9
1,25,10,2290
2,25,3,14
1,26,10,1519
2,26,3,20
1,27,10,1651
2,27,8,13
1,28,10,758
2,28,3,17
1,29,12,976
2,29,3,10
1,30,12,724
2,30,3,19
1,31,12,282
2,31,3,19
1,32,12,744
2,32,3,20
1,33,12,1068
2,33,3,19
1,34,12,1031
2,34,3,9
1,35,12,900
2,35,3,19
1,36,12,596
2,36,3,20
1,37,15,379
2,37,3,14
1,38,15,266
2,38,3,9
1,39,15,162
2,39,3,22
1,40,15,120
2,40,3,19
1,41,15,103
2,41,3,19
1,42,15,49
2,42,8,20
1,43,22,52
2,43,8,21
1,44,22,51
2,44,3,19
1,45,17,51
2,45,3,20
1,46,17,53
2,46,3,11
1,47,17,44
2,47,3,9
1,48,20,46
2,48,3,10
1,49,20,39
2,49,3,9
1,50,22,25
2,50,3,22
1,51,22,46
2,51,3,22
1,52,22,50
2,52,3,12
1,53,22,27
2,53,3,13
1,54,22,19
2,54,3,24
1,55,22,25
2,55,3,25
1,56,22,20
2,56,3,20
1,57,22,20
2,57,3,25
1,58,22,19
2,58,3,20
1,59,27,21
