Poczatek gry. (27.10.2015 4:55)
Gracz,Tura,Dochod,Czas
1,1,3,1008
2,1,3,17
1,2,3,1009
2,2,3,9
1,3,3,1005
2,3,3,11
1,4,3,1005
2,4,3,18
1,5,5,1009
2,5,3,8
1,6,5,1007
2,6,3,11
1,7,5,1006
2,7,3,10
1,8,5,1005
2,8,3,10
1,9,5,1008
2,9,3,9
1,10,5,1006
2,10,3,10
1,11,5,1013
2,11,3,10
1,12,5,1005
2,12,3,22
1,13,5,1007
2,13,3,9
1,14,5,1014
2,14,3,10
1,15,5,1005
2,15,3,21
1,16,5,1012
2,16,3,11
1,17,8,1004
2,17,3,8
1,18,8,1005
2,18,3,10
1,19,8,1011
2,19,3,10
1,20,8,1004
2,20,3,17
1,21,8,1004
2,21,3,10
1,22,8,1004
2,22,3,9
1,23,8,1005
2,23,3,11
1,24,8,1004
2,24,3,10
1,25,8,1014
2,25,3,11
1,26,8,1008
2,26,3,22
1,27,8,1015
2,27,3,11
1,28,8,1014
2,28,3,11
1,29,13,1015
2,29,3,14
1,30,13,1013
2,30,3,12
1,31,13,1005
2,31,3,21
1,32,13,1016
2,32,3,9
1,33,13,1018
2,33,3,10
1,34,13,1007
2,34,3,11
1,35,13,1015
2,35,3,10
1,36,13,1004
2,36,3,14
1,37,13,1012
2,37,3,20
1,38,13,1013
2,38,3,18
1,39,13,1011
2,39,3,20
1,40,13,1006
2,40,3,10
1,41,13,1003
2,41,3,19
1,42,13,1006
2,42,3,18
1,43,13,1006
2,43,3,16
1,44,13,1003
2,44,3,23
1,45,13,1007
2,45,3,18
1,46,13,1014
2,46,3,18
1,47,13,1013
2,47,3,19
1,48,18,1023
2,48,3,11
1,49,20,1011
2,49,3,11
1,50,20,1010
2,50,3,12
1,51,20,1008
2,51,3,9
1,52,27,1009
