Poczatek gry. (26.10.2015 10:12)
Gracz,Tura,Dochod,Czas
1,1,3,136
2,1,3,22
1,2,3,306
2,2,3,8
1,3,3,420
2,3,3,8
1,4,3,646
2,4,3,8
1,5,3,447
2,5,3,17
1,6,5,424
2,6,3,17
1,7,5,346
2,7,3,13
1,8,5,322
2,8,3,17
1,9,5,258
2,9,3,8
1,10,5,186
2,10,3,21
1,11,8,120
2,11,3,7
1,12,8,77
2,12,3,14
1,13,8,79
2,13,3,9
1,14,8,186
2,14,3,11
1,15,8,175
2,15,3,16
1,16,8,201
2,16,3,16
1,17,13,137
2,17,3,13
1,18,13,92
2,18,3,8
1,19,13,140
2,19,3,9
1,20,13,138
2,20,3,8
1,21,13,238
2,21,3,8
1,22,13,513
2,22,3,8
1,23,13,462
2,23,3,8
1,24,13,208
2,24,3,7
1,25,13,410
2,25,3,17
1,26,13,432
2,26,3,8
1,27,13,345
2,27,3,9
1,28,13,348
2,28,3,8
1,29,13,258
2,29,3,14
1,30,13,136
2,30,3,10
1,31,13,124
2,31,5,8
1,32,13,103
2,32,5,8
1,33,18,81
2,33,5,9
1,34,18,31
2,34,5,18
1,35,18,43
2,35,5,7
1,36,18,54
2,36,3,12
1,37,18,60
2,37,3,10
1,38,18,43
2,38,3,18
1,39,20,30
2,39,3,17
1,40,20,36
2,40,3,17
1,41,20,29
2,41,3,17
1,42,20,22
2,42,3,17
1,43,20,18
2,43,3,11
1,44,20,12
2,44,3,24
1,45,20,12
2,45,3,12
1,46,20,18
2,46,3,19
1,47,27,9
