Poczatek gry. (27.10.2015 1:0)
Gracz,Tura,Dochod,Czas
1,1,3,1286
2,1,3,30
1,2,3,864
2,2,3,9
1,3,3,355
2,3,3,16
1,4,3,554
2,4,3,9
1,5,3,334
2,5,3,13
1,6,3,332
2,6,3,8
1,7,3,187
2,7,3,8
1,8,3,229
2,8,3,20
1,9,3,425
2,9,3,9
1,10,3,369
2,10,3,17
1,11,3,1143
2,11,3,17
1,12,3,1082
2,12,3,9
1,13,3,427
2,13,3,9
1,14,3,739
2,14,3,10
1,15,3,301
2,15,3,18
1,16,3,276
2,16,3,9
1,17,3,748
2,17,3,8
1,18,3,841
2,18,3,8
1,19,3,1107
2,19,3,8
1,20,3,1356
2,20,3,18
1,21,5,684
2,21,3,15
1,22,5,953
2,22,3,8
1,23,5,873
2,23,5,18
1,24,5,594
2,24,5,17
1,25,5,639
2,25,5,10
1,26,5,352
2,26,5,17
1,27,5,343
2,27,5,8
1,28,5,752
2,28,5,16
1,29,5,536
2,29,5,12
1,30,5,630
2,30,5,17
1,31,5,697
2,31,5,8
1,32,5,658
2,32,5,16
1,33,10,344
2,33,5,15
1,34,10,333
2,34,5,7
1,35,10,267
2,35,5,17
1,36,10,363
2,36,5,17
1,37,10,436
2,37,5,17
1,38,10,319
2,38,5,17
1,39,10,209
2,39,5,17
1,40,10,134
2,40,5,17
1,41,17,141
2,41,5,16
1,42,17,597
2,42,5,8
1,43,17,440
2,43,5,18
1,44,17,265
2,44,5,17
1,45,17,401
2,45,5,17
1,46,17,575
2,46,3,15
1,47,17,176
2,47,3,15
1,48,17,153
2,48,3,14
1,49,17,108
2,49,3,16
1,50,20,101
2,50,3,17
1,51,20,288
2,51,3,17
1,52,20,147
2,52,3,8
1,53,22,157
2,53,3,17
1,54,22,243
2,54,3,16
1,55,22,92
2,55,3,17
1,56,22,59
2,56,3,15
1,57,22,35
2,57,3,16
1,58,22,23
2,58,3,15
1,59,22,17
2,59,3,16
1,60,22,16
2,60,3,16
1,61,15,17
2,61,3,16
1,62,20,16
2,62,3,16
1,63,20,16
2,63,3,17
1,64,20,15
2,64,3,17
1,65,20,11
2,65,3,10
1,66,27,11
