Poczatek gry. (27.10.2015 4:25)
Gracz,Tura,Dochod,Czas
1,1,3,1008
2,1,3,14
1,2,3,1006
2,2,3,13
1,3,3,1014
2,3,3,9
1,4,3,1005
2,4,3,10
1,5,3,1007
2,5,3,19
1,6,5,1016
2,6,3,9
1,7,5,1007
2,7,3,9
1,8,5,1009
2,8,3,10
1,9,5,1017
2,9,3,16
1,10,5,1003
2,10,3,19
1,11,5,1006
2,11,3,11
1,12,5,1007
2,12,3,20
1,13,5,1006
2,13,3,11
1,14,5,1005
2,14,3,11
1,15,5,1005
2,15,3,10
1,16,5,1005
2,16,3,12
1,17,5,1003
2,17,3,9
1,18,5,1003
2,18,3,19
1,19,5,1015
2,19,3,12
1,20,5,1013
2,20,3,17
1,21,5,1015
2,21,3,8
1,22,5,1004
2,22,3,10
1,23,5,1003
2,23,3,9
1,24,5,1004
2,24,3,10
1,25,5,1013
2,25,3,12
1,26,10,1004
2,26,3,23
1,27,13,1016
2,27,3,22
1,28,13,1006
2,28,3,10
1,29,13,1004
2,29,3,10
1,30,13,1005
2,30,3,9
1,31,13,1005
2,31,3,9
1,32,10,1014
2,32,3,14
1,33,13,1015
2,33,3,9
1,34,13,1014
2,34,3,20
1,35,13,1007
2,35,3,19
1,36,13,1014
2,36,3,20
1,37,13,1006
2,37,3,14
1,38,13,1013
2,38,3,14
1,39,13,1008
2,39,3,18
1,40,13,1004
2,40,3,14
1,41,13,1006
2,41,3,13
1,42,13,1005
2,42,3,13
1,43,13,1008
2,43,3,9
1,44,13,1013
2,44,3,10
1,45,13,1004
2,45,3,21
1,46,13,1018
2,46,3,10
1,47,13,1014
2,47,3,10
1,48,10,1013
2,48,3,9
1,49,10,1014
2,49,3,9
1,50,10,1015
2,50,3,12
1,51,10,1007
2,51,3,9
1,52,10,1004
2,52,3,12
1,53,10,1004
2,53,3,10
1,54,10,1004
2,54,3,10
1,55,10,1124
2,55,3,124
1,56,17,1004
2,56,3,10
1,57,17,1011
2,57,3,10
1,58,17,1015
2,58,3,12
1,59,17,1015
2,59,3,12
1,60,17,1004
2,60,3,10
1,61,20,1003
2,61,3,10
1,62,25,1007
