Poczatek gry. (27.10.2015 4:38)
Gracz,Tura,Dochod,Czas
1,1,3,1010
2,1,3,16
1,2,3,1007
2,2,3,14
1,3,3,1010
2,3,3,23
1,4,3,1024
2,4,3,14
1,5,3,1013
2,5,3,14
1,6,3,1011
2,6,3,12
1,7,3,1007
2,7,3,12
1,8,3,1005
2,8,3,21
1,9,6,1016
2,9,3,14
1,10,6,1013
2,10,3,22
1,11,6,1022
2,11,3,9
1,12,6,1015
2,12,3,22
1,13,6,1015
2,13,3,9
1,14,6,1004
2,14,3,18
1,15,6,1026
2,15,3,20
1,16,8,1015
2,16,3,28
1,17,8,1012
2,17,3,20
1,18,8,1016
2,18,3,21
1,19,8,1007
2,19,3,20
1,20,8,1015
2,20,3,22
1,21,8,1015
2,21,3,34
1,22,8,1008
2,22,3,10
1,23,8,1005
2,23,3,9
1,24,8,1015
2,24,3,10
1,25,8,1015
2,25,3,20
1,26,8,1015
2,26,3,10
1,27,8,1005
2,27,3,24
1,28,8,1008
2,28,3,10
1,29,8,1009
2,29,3,22
1,30,8,1006
2,30,3,10
1,31,8,1005
2,31,3,21
1,32,8,1004
2,32,3,10
1,33,8,1018
2,33,3,10
1,34,8,1016
2,34,3,10
1,35,8,1005
2,35,3,10
1,36,8,1005
2,36,3,20
1,37,13,1005
2,37,3,34
1,38,13,1015
2,38,3,10
1,39,13,1005
2,39,3,11
1,40,13,1004
2,40,3,11
1,41,13,1005
2,41,3,11
1,42,13,1006
2,42,3,10
1,43,13,1015
2,43,3,13
1,44,13,1005
2,44,3,20
1,45,13,1005
2,45,3,11
1,46,13,1004
2,46,3,12
1,47,13,1005
2,47,3,11
1,48,13,1005
2,48,3,12
1,49,13,1005
2,49,3,11
1,50,13,1122
2,50,3,148
1,51,13,1005
2,51,3,22
1,52,13,1015
2,52,3,10
1,53,20,1006
2,53,3,20
1,54,20,1008
2,54,3,10
1,55,20,1004
2,55,3,10
1,56,22,1007
2,56,3,10
1,57,22,1006
2,57,3,21
1,58,27,1015
