Poczatek gry. (26.10.2015 10:10)
Gracz,Tura,Dochod,Czas
1,1,3,22
2,1,3,21
1,2,3,82
2,2,3,18
1,3,5,57
2,3,3,11
1,4,5,30
2,4,3,20
1,5,5,46
2,5,3,21
1,6,5,64
2,6,3,20
1,7,5,72
2,7,3,11
1,8,5,66
2,8,3,20
1,9,5,93
2,9,3,9
1,10,5,118
2,10,3,21
1,11,5,95
2,11,3,20
1,12,5,87
2,12,3,20
1,13,5,92
2,13,3,21
1,14,5,104
2,14,3,21
1,15,5,123
2,15,3,20
1,16,5,420
2,16,3,20
1,17,5,285
2,17,3,17
1,18,5,283
2,18,3,11
1,19,5,307
2,19,3,10
1,20,5,433
2,20,3,9
1,21,5,1176
2,21,3,13
1,22,5,1208
2,22,3,9
1,23,5,657
2,23,3,20
1,24,5,432
2,24,3,11
1,25,10,390
2,25,3,17
1,26,10,478
2,26,3,9
1,27,10,172
2,27,3,9
1,28,10,282
2,28,3,10
1,29,10,514
2,29,3,20
1,30,10,347
2,30,3,21
1,31,15,239
2,31,3,18
1,32,15,142
2,32,3,20
1,33,15,129
2,33,3,22
1,34,15,232
2,34,3,17
1,35,15,119
2,35,3,10
1,36,15,80
2,36,3,19
1,37,15,65
2,37,3,21
1,38,15,38
2,38,3,10
1,39,18,51
