Poczatek gry. (27.10.2015 1:0)
Gracz,Tura,Dochod,Czas
1,1,3,143
2,1,3,18
1,2,3,318
2,2,3,8
1,3,3,683
2,3,3,8
1,4,3,689
2,4,3,18
1,5,5,466
2,5,3,17
1,6,5,359
2,6,3,8
1,7,5,311
2,7,3,17
1,8,5,296
2,8,3,18
1,9,5,202
2,9,3,17
1,10,8,126
2,10,3,8
1,11,8,552
2,11,3,8
1,12,8,554
2,12,3,8
1,13,8,417
2,13,3,8
1,14,8,411
2,14,3,9
1,15,8,613
2,15,3,16
1,16,13,416
2,16,3,8
1,17,13,787
2,17,3,18
1,18,13,155
2,18,3,8
1,19,13,159
2,19,3,8
1,20,13,212
2,20,3,12
1,21,13,200
2,21,3,13
1,22,13,306
2,22,3,9
1,23,13,156
2,23,3,18
1,24,13,137
2,24,3,9
1,25,18,376
2,25,3,16
1,26,18,280
2,26,3,11
1,27,18,351
2,27,3,9
1,28,18,242
2,28,3,8
1,29,18,403
2,29,3,11
1,30,18,86
2,30,3,8
1,31,18,62
2,31,3,8
1,32,18,111
2,32,3,17
1,33,20,220
2,33,3,16
1,34,20,116
2,34,3,8
1,35,20,127
2,35,3,8
1,36,20,65
2,36,3,12
1,37,20,63
2,37,3,24
1,38,20,30
2,38,3,12
1,39,20,22
2,39,3,13
1,40,20,13
2,40,3,8
1,41,20,13
2,41,3,8
1,42,20,9
2,42,3,14
1,43,20,12
2,43,3,12
1,44,20,20
2,44,3,9
1,45,20,8
2,45,3,13
1,46,20,9
2,46,3,12
1,47,27,9
