Poczatek gry. (27.10.2015 0:55)
Gracz,Tura,Dochod,Czas
1,1,3,142
2,1,3,24
1,2,3,358
2,2,3,12
1,3,3,681
2,3,3,19
1,4,3,684
2,4,3,18
1,5,3,415
2,5,3,9
1,6,5,297
2,6,3,19
1,7,5,318
2,7,3,9
1,8,5,291
2,8,3,19
1,9,5,245
2,9,3,9
1,10,5,239
2,10,3,20
1,11,5,194
2,11,3,9
1,12,8,142
2,12,3,16
1,13,8,565
2,13,3,19
1,14,8,199
2,14,3,20
1,15,8,268
2,15,3,9
1,16,8,282
2,16,3,11
1,17,8,149
2,17,3,8
1,18,13,403
2,18,8,11
1,19,13,210
2,19,3,9
1,20,13,565
2,20,3,20
1,21,13,155
2,21,3,19
1,22,13,109
2,22,3,9
1,23,13,131
2,23,3,9
1,24,13,151
2,24,3,22
1,25,13,122
2,25,3,19
1,26,13,106
2,26,3,10
1,27,13,112
2,27,3,20
1,28,13,91
2,28,3,11
1,29,13,155
2,29,3,10
1,30,13,207
2,30,3,10
1,31,13,107
2,31,3,9
1,32,18,106
2,32,3,11
1,33,18,391
2,33,3,19
1,34,18,341
2,34,3,10
1,35,18,403
2,35,3,18
1,36,18,134
2,36,3,18
1,37,18,106
2,37,3,10
1,38,20,90
2,38,3,9
1,39,20,116
2,39,3,9
1,40,20,220
2,40,3,9
1,41,20,70
2,41,3,20
1,42,20,88
2,42,3,9
1,43,20,46
2,43,3,11
1,44,20,22
2,44,3,19
1,45,20,12
2,45,3,10
1,46,20,10
2,46,3,13
1,47,20,23
2,47,3,19
1,48,20,13
2,48,3,12
1,49,20,13
2,49,3,15
1,50,20,12
2,50,3,9
1,51,20,12
2,51,3,11
1,52,20,9
2,52,3,10
1,53,27,9
