Poczatek gry. (27.10.2015 7:36)
Gracz,Tura,Dochod,Czas
1,1,3,2008
2,1,3,158
1,2,3,2013
2,2,3,321
1,3,3,2003
2,3,3,270
1,4,3,2015
2,4,3,196
1,5,3,2011
2,5,3,151
1,6,3,2013
2,6,3,170
1,7,3,2005
2,7,3,418
1,8,3,2014
2,8,3,793
1,9,3,2013
2,9,3,212
1,10,3,2012
2,10,3,137
1,11,3,2012
2,11,3,261
1,12,3,2014
2,12,8,226
1,13,3,2014
2,13,3,248
1,14,3,2015
2,14,3,231
1,15,3,2013
2,15,5,516
1,16,3,2013
2,16,5,693
1,17,3,2004
2,17,5,736
1,18,3,2013
2,18,10,507
1,19,3,2014
2,19,10,334
1,20,3,2014
2,20,10,340
1,21,3,2005
2,21,10,439
1,22,3,2003
2,22,10,417
1,23,3,2013
2,23,10,311
1,24,3,2014
2,24,10,197
1,25,3,2013
2,25,8,166
1,26,3,2018
2,26,8,231
1,27,3,2014
2,27,8,199
1,28,3,2012
2,28,13,138
1,29,3,2013
2,29,13,462
1,30,3,2012
2,30,13,691
1,31,3,2013
2,31,13,184
1,32,3,2013
2,32,13,338
1,33,3,2013
2,33,13,521
1,34,8,2013
2,34,13,342
1,35,3,2011
2,35,13,811
1,36,3,2012
2,36,13,692
1,37,3,2061
2,37,13,824
1,38,3,2013
2,38,13,959
1,39,3,2005
2,39,13,840
1,40,3,2014
2,40,13,678
1,41,3,2014
2,41,15,462
1,42,3,2014
2,42,15,488
1,43,3,2014
2,43,15,1276
1,44,3,2015
2,44,15,1062
1,45,3,2013
2,45,15,1374
1,46,3,2134
2,46,15,1388
1,47,3,2015
2,47,15,1257
1,48,3,2004
2,48,15,846
1,49,3,2032
2,49,15,167
1,50,3,2014
2,50,15,1058
1,51,3,2014
2,51,15,877
1,52,3,2013
2,52,15,881
1,53,3,2015
2,53,15,878
1,54,3,2013
2,54,15,579
1,55,3,2013
2,55,15,574
1,56,3,2016
2,56,15,378
1,57,3,2061
2,57,20,244
1,58,3,2013
2,58,20,158
1,59,3,2012
2,59,20,129
1,60,3,2012
2,60,20,105
1,61,3,2014
2,61,20,78
1,62,3,2208
2,62,20,79
1,63,3,2012
2,63,20,50
1,64,3,2012
2,64,20,272
1,65,3,2004
2,65,20,194
1,66,3,2154
2,66,17,30
1,67,3,2013
2,67,17,138
1,68,3,2108
2,68,17,28
1,69,3,2014
2,69,24,134
1,70,3,2186
2,70,22,270
1,71,3,2150
2,71,22,221
1,72,3,2131
2,72,22,20
1,73,3,2022
2,73,22,27
1,74,3,2022
2,74,22,21
1,75,3,2018
2,75,22,11
1,76,3,2009
2,76,24,11
1,77,3,2024
2,77,24,20
1,78,3,2023
2,78,24,20
1,79,3,2027
2,79,24,21
1,80,3,2024
2,80,27,9
