Poczatek gry. (27.10.2015 7:11)
Gracz,Tura,Dochod,Czas
1,1,3,2015
2,1,3,13
1,2,3,2015
2,2,3,31
1,3,3,2014
2,3,3,58
1,4,5,2015
2,4,5,184
1,5,5,2014
2,5,5,115
1,6,5,2014
2,6,5,786
1,7,5,2015
2,7,5,2591
1,8,5,2014
2,8,5,233
1,9,5,2014
2,9,5,200
1,10,5,2014
2,10,5,398
1,11,3,2014
2,11,5,690
1,12,3,2015
2,12,5,774
1,13,3,2014
2,13,5,652
1,14,3,2033
2,14,5,688
1,15,3,2015
2,15,5,741
1,16,3,2014
2,16,7,593
1,17,3,2015
2,17,7,391
1,18,3,2013
2,18,7,459
1,19,3,2014
2,19,7,311
1,20,8,2014
2,20,7,218
1,21,3,2014
2,21,10,234
1,22,3,2015
2,22,10,270
1,23,3,2014
2,23,10,441
1,24,3,2122
2,24,7,714
1,25,3,2015
2,25,10,582
1,26,3,2013
2,26,10,596
1,27,3,2014
2,27,10,413
1,28,3,2014
2,28,10,399
1,29,3,2014
2,29,10,501
1,30,3,2013
2,30,10,448
1,31,3,2014
2,31,10,401
1,32,3,2016
2,32,10,345
1,33,3,2014
2,33,10,238
1,34,3,2014
2,34,15,297
1,35,3,2014
2,35,15,211
1,36,3,2013
2,36,15,360
1,37,3,2014
2,37,15,323
1,38,3,2014
2,38,15,220
1,39,3,2014
2,39,15,222
1,40,3,2014
2,40,15,224
1,41,3,2014
2,41,15,152
1,42,3,2014
2,42,15,460
1,43,3,2014
2,43,15,420
1,44,3,2013
2,44,15,410
1,45,3,2014
2,45,15,268
1,46,3,2183
2,46,15,468
1,47,3,2014
2,47,15,165
1,48,3,2016
2,48,15,164
1,49,3,2016
2,49,15,110
1,50,3,2014
2,50,15,71
1,51,3,2014
2,51,20,42
1,52,3,2014
2,52,20,51
1,53,3,2014
2,53,20,38
1,54,3,2014
2,54,20,240
1,55,3,2135
2,55,20,231
1,56,3,2020
2,56,17,35
1,57,3,2015
2,57,20,243
1,58,3,2015
2,58,20,79
1,59,3,2029
2,59,20,23
1,60,3,2025
2,60,20,20
1,61,3,2032
2,61,27,21
