Poczatek gry. (27.10.2015 5:56)
Gracz,Tura,Dochod,Czas
1,1,3,2012
2,1,3,71
1,2,3,2014
2,2,3,81
1,3,3,2006
2,3,3,120
1,4,3,2017
2,4,3,264
1,5,3,2018
2,5,3,174
1,6,3,2017
2,6,5,123
1,7,3,2016
2,7,5,588
1,8,3,2018
2,8,5,217
1,9,3,2016
2,9,5,213
1,10,3,2020
2,10,3,193
1,11,3,2016
2,11,3,119
1,12,8,2018
2,12,3,127
1,13,3,2017
2,13,3,290
1,14,8,2018
2,14,3,183
1,15,3,2017
2,15,6,291
1,16,5,2017
2,16,6,277
1,17,5,2016
2,17,6,366
1,18,3,2010
2,18,3,464
1,19,3,2017
2,19,3,573
1,20,3,2016
2,20,3,593
1,21,8,2015
2,21,6,176
1,22,8,2016
2,22,6,291
1,23,3,2008
2,23,6,554
1,24,5,2018
2,24,6,358
1,25,3,2018
2,25,6,259
1,26,3,2017
2,26,3,404
1,27,3,2013
2,27,5,184
1,28,8,2016
2,28,5,636
1,29,3,2019
2,29,8,220
1,30,3,2015
2,30,8,186
1,31,3,2018
2,31,8,571
1,32,3,2015
2,32,6,682
1,33,3,2007
2,33,3,914
1,34,3,2005
2,34,6,1102
1,35,3,2018
2,35,6,907
1,36,3,2005
2,36,8,870
1,37,5,2017
2,37,11,415
1,38,5,2018
2,38,11,822
1,39,5,2005
2,39,11,702
1,40,5,2017
2,40,11,163
1,41,5,2016
2,41,11,243
1,42,8,2016
2,42,11,277
1,43,3,2015
2,43,11,676
1,44,3,2005
2,44,11,698
1,45,3,2010
2,45,13,487
1,46,3,2006
2,46,13,315
1,47,3,2014
2,47,13,310
1,48,3,2017
2,48,13,233
1,49,3,2016
2,49,13,209
1,50,3,2018
2,50,13,201
1,51,3,2109
2,51,13,263
1,52,3,2016
2,52,13,118
1,53,3,2016
2,53,13,164
1,54,3,2008
2,54,18,109
1,55,3,2016
2,55,18,381
1,56,3,2165
2,56,18,323
1,57,5,2077
2,57,18,412
1,58,3,2032
2,58,18,181
1,59,3,2020
2,59,13,143
1,60,3,2016
2,60,13,225
1,61,3,2016
2,61,13,159
1,62,3,2042
2,62,13,223
1,63,3,2007
2,63,13,230
1,64,3,2015
2,64,13,339
1,65,3,2139
2,65,13,357
1,66,3,2014
2,66,13,352
1,67,3,2019
2,67,10,334
1,68,3,2018
2,68,13,333
1,69,3,2017
2,69,13,329
1,70,3,2017
2,70,13,222
1,71,3,2017
2,71,18,157
1,72,3,2015
2,72,18,107
1,73,3,2196
2,73,20,240
1,74,3,2059
2,74,20,119
1,75,3,2017
2,75,20,72
1,76,3,2007
2,76,20,173
1,77,3,2020
2,77,20,32
1,78,3,2092
2,78,20,43
1,79,3,2017
2,79,20,35
1,80,3,2025
2,80,20,13
1,81,3,2021
2,81,20,11
1,82,3,2027
2,82,20,11
1,83,3,2017
2,83,27,11
