Poczatek gry. (26.10.2015 10:8)
Gracz,Tura,Dochod,Czas
1,1,3,65
2,1,3,20
1,2,3,80
2,2,3,19
1,3,3,56
2,3,3,11
1,4,3,70
2,4,3,9
1,5,3,38
2,5,3,19
1,6,3,124
2,6,3,19
1,7,3,140
2,7,3,15
1,8,3,206
2,8,3,20
1,9,3,181
2,9,3,22
1,10,5,99
2,10,5,21
1,11,5,90
2,11,5,21
1,12,5,173
2,12,5,20
1,13,5,448
2,13,5,20
1,14,5,306
2,14,5,24
1,15,5,342
2,15,5,10
1,16,5,223
2,16,5,9
1,17,12,87
2,17,5,9
1,18,12,147
2,18,5,10
1,19,12,275
2,19,5,20
1,20,12,406
2,20,3,23
1,21,12,634
2,21,3,19
1,22,12,392
2,22,5,20
1,23,12,82
2,23,5,11
1,24,15,59
2,24,5,11
1,25,15,68
2,25,5,9
1,26,15,68
2,26,5,20
1,27,15,75
2,27,3,9
1,28,15,136
2,28,3,9
1,29,15,99
2,29,3,21
1,30,17,51
2,30,3,9
1,31,17,69
2,31,3,21
1,32,17,138
2,32,3,20
1,33,17,195
2,33,3,19
1,34,17,199
2,34,3,9
1,35,17,293
2,35,3,10
1,36,17,168
2,36,3,10
1,37,17,312
2,37,3,9
1,38,17,194
2,38,3,20
1,39,17,126
2,39,3,21
1,40,17,74
2,40,3,20
1,41,17,47
2,41,3,18
1,42,17,52
2,42,3,20
1,43,17,28
2,43,3,20
1,44,22,27
2,44,3,12
1,45,22,13
2,45,3,16
1,46,22,12
2,46,3,10
1,47,22,23
2,47,3,19
1,48,22,11
2,48,3,10
1,49,22,11
2,49,3,19
1,50,22,15
2,50,3,9
1,51,22,10
2,51,3,20
1,52,27,11
