Poczatek gry. (27.10.2015 4:56)
Gracz,Tura,Dochod,Czas
1,1,3,1008
2,1,3,12
1,2,3,1004
2,2,3,12
1,3,3,1008
2,3,3,29
1,4,3,1015
2,4,3,20
1,5,6,1015
2,5,3,20
1,6,6,1014
2,6,3,19
1,7,6,1014
2,7,3,20
1,8,6,1014
2,8,3,9
1,9,6,1008
2,9,3,10
1,10,6,1006
2,10,3,9
1,11,6,1004
2,11,3,24
1,12,6,1014
2,12,3,11
1,13,6,1004
2,13,3,19
1,14,6,1005
2,14,3,10
1,15,6,1004
2,15,3,21
1,16,6,1014
2,16,3,20
1,17,6,1013
2,17,3,9
1,18,6,1006
2,18,3,20
1,19,6,1015
2,19,3,10
1,20,6,1014
2,20,3,14
1,21,8,1004
2,21,3,10
1,22,8,1005
2,22,3,93
1,23,8,1015
2,23,3,9
1,24,8,1009
2,24,3,21
1,25,8,1015
2,25,3,21
1,26,8,1008
2,26,3,9
1,27,8,1004
2,27,3,9
1,28,8,1008
2,28,3,21
1,29,8,1010
2,29,3,9
1,30,8,1005
2,30,3,10
1,31,8,1003
2,31,3,10
1,32,8,1005
2,32,3,13
1,33,8,1005
2,33,3,10
1,34,8,1004
2,34,3,26
1,35,8,1015
2,35,3,10
1,36,8,1003
2,36,3,10
1,37,8,1004
2,37,3,20
1,38,8,1014
2,38,3,8
1,39,8,1004
2,39,3,20
1,40,8,1013
2,40,3,9
1,41,8,1004
2,41,3,10
1,42,5,1005
2,42,3,19
1,43,5,1014
2,43,3,21
1,44,5,1014
2,44,3,8
1,45,5,1016
2,45,3,19
1,46,5,1014
2,46,3,19
1,47,5,1014
2,47,3,10
1,48,5,1016
2,48,3,19
1,49,5,1016
2,49,3,20
1,50,5,1014
2,50,3,9
1,51,8,1014
2,51,3,20
1,52,8,1101
2,52,3,135
1,53,8,1014
2,53,3,9
1,54,8,1004
2,54,3,10
1,55,8,1003
2,55,3,19
1,56,8,1014
2,56,3,19
1,57,8,1017
2,57,3,19
1,58,13,1014
2,58,3,24
1,59,20,1007
2,59,3,9
1,60,22,1014
2,60,3,20
1,61,22,1039
2,61,3,21
1,62,22,1018
2,62,3,21
1,63,22,1022
2,63,3,21
1,64,27,1022
