Poczatek gry. (27.10.2015 8:9)
Gracz,Tura,Dochod,Czas
1,1,3,2007
2,1,3,112
1,2,3,2015
2,2,3,171
1,3,3,2015
2,3,3,956
1,4,3,2015
2,4,5,163
1,5,3,2013
2,5,5,1629
1,6,3,2015
2,6,5,138
1,7,3,2017
2,7,5,168
1,8,3,2017
2,8,3,107
1,9,3,2014
2,9,3,386
1,10,3,2030
2,10,3,118
1,11,3,2006
2,11,3,114
1,12,5,2015
2,12,6,571
1,13,5,2015
2,13,6,436
1,14,5,2017
2,14,3,1114
1,15,5,2014
2,15,3,108
1,16,5,2014
2,16,3,123
1,17,5,2014
2,17,3,127
1,18,5,2018
2,18,3,163
1,19,5,2016
2,19,3,166
1,20,5,2015
2,20,3,178
1,21,5,2013
2,21,3,90
1,22,5,2004
2,22,3,78
1,23,5,2015
2,23,3,154
1,24,5,2019
2,24,3,123
1,25,5,2015
2,25,3,197
1,26,5,2015
2,26,3,193
1,27,5,2014
2,27,3,165
1,28,5,2014
2,28,3,201
1,29,5,2014
2,29,3,197
1,30,8,2014
2,30,3,175
1,31,8,2016
2,31,3,143
1,32,8,2015
2,32,3,274
1,33,8,2014
2,33,3,299
1,34,8,2015
2,34,3,254
1,35,8,2106
2,35,3,394
1,36,8,2014
2,36,3,107
1,37,8,2015
2,37,3,263
1,38,5,2015
2,38,3,294
1,39,5,2013
2,39,3,106
1,40,5,2015
2,40,3,101
1,41,5,2015
2,41,3,83
1,42,5,2004
2,42,3,121
1,43,5,2015
2,43,3,135
1,44,5,2014
2,44,5,101
1,45,5,2014
2,45,5,171
1,46,5,2053
2,46,5,119
1,47,5,2015
2,47,5,207
1,48,5,2004
2,48,5,189
1,49,5,2016
2,49,5,187
1,50,10,2014
2,50,5,191
1,51,10,2004
2,51,5,282
1,52,10,2014
2,52,5,326
1,53,11,2005
2,53,5,428
1,54,10,2014
2,54,5,287
1,55,11,2014
2,55,5,407
1,56,11,2009
2,56,5,694
1,57,10,2014
2,57,5,390
1,58,11,2015
2,58,5,560
1,59,11,2014
2,59,5,429
1,60,11,2015
2,60,5,671
1,61,8,2004
2,61,5,665
1,62,5,2022
2,62,5,220
1,63,10,2015
2,63,5,302
1,64,10,2014
2,64,5,247
1,65,10,2014
2,65,5,68
1,66,10,2119
2,66,5,55
1,67,10,2014
2,67,5,88
1,68,10,2014
2,68,5,139
1,69,10,2014
2,69,5,81
1,70,10,2015
2,70,5,112
1,71,5,2015
2,71,5,121
1,72,10,2015
2,72,5,117
1,73,10,2015
2,73,5,157
1,74,10,2014
2,74,5,166
1,75,8,2014
2,75,5,376
1,76,8,2016
2,76,5,905
1,77,8,2016
2,77,5,149
1,78,5,2014
2,78,5,600
1,79,5,2016
2,79,5,466
1,80,5,2016
2,80,5,404
1,81,5,2017
2,81,5,565
1,82,5,2015
2,82,5,247
1,83,5,2014
2,83,5,346
1,84,5,2014
2,84,5,661
1,85,3,2014
2,85,3,650
1,86,3,2014
2,86,5,1019
1,87,3,2016
2,87,5,184
1,88,8,2015
2,88,5,399
1,89,8,2015
2,89,5,759
1,90,8,2220
2,90,3,597
1,91,8,2136
2,91,5,423
1,92,8,2015
2,92,3,351
1,93,8,2014
2,93,3,147
1,94,8,2014
2,94,3,126
1,95,8,2080
2,95,5,172
1,96,8,2014
2,96,3,116
1,97,8,2015
2,97,3,116
1,98,8,2071
2,98,3,108
1,99,8,2014
2,99,3,72
1,100,8,2133
2,100,3,71
1,101,13,2015
2,101,3,171
1,102,13,2017
2,102,3,228
1,103,8,2016
2,103,3,137
1,104,8,2014
2,104,3,307
1,105,8,2014
2,105,3,245
1,106,8,2014
2,106,3,310
1,107,3,2005
2,107,3,193
1,108,3,2004
2,108,3,141
1,109,3,2014
2,109,3,113
1,110,3,2014
2,110,3,65
1,111,3,2014
2,111,3,162
1,112,3,2070
2,112,3,142
1,113,3,2074
2,113,3,30
1,114,8,2015
2,114,3,157
1,115,8,2181
2,115,3,114
1,116,10,2015
2,116,3,112
1,117,10,2015
2,117,3,101
1,118,13,2016
2,118,3,220
1,119,13,2014
2,119,3,30
1,120,13,2014
2,120,3,29
1,121,13,2016
2,121,3,23
1,122,13,2014
2,122,3,26
1,123,13,2014
2,123,3,29
1,124,13,2014
2,124,3,46
1,125,13,2014
2,125,3,278
1,126,15,2085
2,126,3,12
1,127,15,2060
2,127,3,212
1,128,15,2062
2,128,3,23
1,129,15,2015
2,129,3,175
1,130,15,2015
2,130,3,28
1,131,15,2180
2,131,3,288
1,132,17,2008
2,132,3,141
1,133,17,2110
2,133,3,21
1,134,22,2020
2,134,3,35
1,135,22,2027
2,135,3,46
1,136,22,2022
2,136,3,79
1,137,15,2022
2,137,3,45
1,138,20,2025
2,138,3,47
1,139,27,2032
