Poczatek gry. (26.10.2015 10:1)
Gracz,Tura,Dochod,Czas
1,1,3,258
2,1,3,22
1,2,3,418
2,2,3,16
1,3,3,525
2,3,3,8
1,4,3,963
2,4,3,17
1,5,3,1023
2,5,3,17
1,6,3,1380
2,6,3,16
1,7,3,1093
2,7,3,8
1,8,3,1037
2,8,3,15
1,9,3,880
2,9,3,17
1,10,3,1150
2,10,3,16
1,11,8,734
2,11,3,15
1,12,8,602
2,12,3,17
1,13,8,1226
2,13,6,16
1,14,8,1707
2,14,3,8
1,15,8,2213
2,15,3,17
1,16,8,1640
2,16,3,17
1,17,10,1154
2,17,3,15
1,18,10,1247
2,18,3,9
1,19,10,809
2,19,3,17
1,20,10,1838
2,20,3,10
1,21,10,2525
2,21,3,7
1,22,10,1808
2,22,3,17
1,23,10,2120
2,23,3,18
1,24,5,4386
2,24,3,8
1,25,10,2614
2,25,3,18
1,26,10,3461
2,26,3,18
1,27,10,3490
2,27,3,14
1,28,10,3411
2,28,3,15
1,29,10,2452
2,29,3,17
1,30,10,1811
2,30,3,15
1,31,13,2226
2,31,3,8
1,32,13,1527
2,32,3,8
1,33,13,2327
2,33,3,17
1,34,13,3202
2,34,3,17
1,35,8,4161
2,35,3,16
1,36,8,1441
2,36,3,16
1,37,8,1011
2,37,3,17
1,38,13,755
2,38,3,16
1,39,13,545
2,39,3,17
1,40,13,541
2,40,3,16
1,41,15,554
2,41,3,17
1,42,15,360
2,42,3,16
1,43,15,303
2,43,3,16
1,44,15,283
2,44,3,17
1,45,15,514
2,45,3,17
1,46,15,654
2,46,3,17
1,47,15,449
2,47,3,17
1,48,15,401
2,48,3,17
1,49,15,452
2,49,3,16
1,50,15,272
2,50,3,17
1,51,15,243
2,51,3,17
1,52,15,141
2,52,3,16
1,53,15,82
2,53,3,17
1,54,15,55
2,54,3,17
1,55,22,38
