Poczatek gry. (27.10.2015 5:7)
Gracz,Tura,Dochod,Czas
1,1,3,1008
2,1,3,29
1,2,3,1011
2,2,3,22
1,3,5,1024
2,3,3,10
1,4,5,1016
2,4,3,10
1,5,5,1005
2,5,3,19
1,6,5,1016
2,6,3,9
1,7,5,1009
2,7,3,20
1,8,5,1012
2,8,3,11
1,9,5,1005
2,9,3,22
1,10,5,1005
2,10,3,10
1,11,5,1004
2,11,3,20
1,12,5,1016
2,12,3,10
1,13,5,1013
2,13,3,22
1,14,5,1018
2,14,3,18
1,15,10,1005
2,15,3,29
1,16,10,1009
2,16,3,11
1,17,10,1010
2,17,3,11
1,18,10,1005
2,18,3,10
1,19,10,1006
2,19,3,13
1,20,10,1004
2,20,3,10
1,21,10,1016
2,21,3,9
1,22,10,1015
2,22,3,10
1,23,10,1004
2,23,3,10
1,24,10,1015
2,24,3,22
1,25,10,1015
2,25,3,20
1,26,10,1014
2,26,3,20
1,27,10,1015
2,27,3,9
1,28,10,1004
2,28,3,20
1,29,10,1015
2,29,3,21
1,30,10,1014
2,30,3,20
1,31,10,1016
2,31,3,20
1,32,10,1007
2,32,3,20
1,33,10,1014
2,33,3,20
1,34,10,1014
2,34,3,20
1,35,10,1007
2,35,3,10
1,36,10,1005
2,36,3,21
1,37,10,1015
2,37,3,20
1,38,10,1015
2,38,3,21
1,39,10,1015
2,39,3,21
1,40,10,1014
2,40,3,9
1,41,10,1141
2,41,3,141
1,42,10,1015
2,42,3,18
1,43,15,1013
2,43,3,20
1,44,15,1015
2,44,3,11
1,45,15,1005
2,45,3,21
1,46,15,1013
2,46,3,10
1,47,15,1004
2,47,3,20
1,48,15,1015
2,48,3,21
1,49,18,1007
2,49,3,22
1,50,18,1014
2,50,3,18
1,51,18,1007
2,51,3,20
1,52,18,1014
2,52,3,22
1,53,18,1015
2,53,3,21
1,54,18,1015
2,54,3,21
1,55,18,1009
2,55,3,22
1,56,25,1014
