Poczatek gry. (27.10.2015 4:51)
Gracz,Tura,Dochod,Czas
1,1,3,1017
2,1,3,24
1,2,3,1009
2,2,3,13
1,3,5,1006
2,3,3,11
1,4,5,1017
2,4,3,12
1,5,5,1006
2,5,3,10
1,6,5,1006
2,6,3,12
1,7,5,1010
2,7,3,12
1,8,5,1006
2,8,3,14
1,9,5,1008
2,9,3,17
1,10,5,1006
2,10,3,12
1,11,5,1018
2,11,3,10
1,12,5,1007
2,12,3,10
1,13,5,1018
2,13,3,10
1,14,5,1007
2,14,3,22
1,15,5,1017
2,15,3,24
1,16,5,1019
2,16,3,11
1,17,5,1019
2,17,3,25
1,18,5,1019
2,18,3,24
1,19,5,1017
2,19,3,10
1,20,5,1006
2,20,3,10
1,21,5,1013
2,21,3,11
1,22,5,1006
2,22,3,23
1,23,5,1016
2,23,3,22
1,24,5,1017
2,24,3,22
1,25,5,1016
2,25,3,22
1,26,5,1019
2,26,3,20
1,27,5,1017
2,27,3,24
1,28,5,1019
2,28,3,24
1,29,5,1016
2,29,3,11
1,30,5,1017
2,30,3,21
1,31,5,1007
2,31,3,22
1,32,5,1015
2,32,3,11
1,33,5,1016
2,33,3,11
1,34,12,1018
2,34,3,10
1,35,12,1016
2,35,3,11
1,36,12,1005
2,36,3,22
1,37,12,1016
2,37,3,11
1,38,12,1017
2,38,3,17
1,39,12,1005
2,39,3,11
1,40,12,1005
2,40,3,25
1,41,12,1019
2,41,3,25
1,42,12,1006
2,42,3,23
1,43,12,1008
2,43,3,12
1,44,12,1007
2,44,3,23
1,45,12,1017
2,45,3,25
1,46,12,1008
2,46,3,13
1,47,12,1005
2,47,3,11
1,48,12,1005
2,48,3,11
1,49,12,1007
2,49,3,25
1,50,12,1005
2,50,3,17
1,51,17,1005
2,51,3,16
1,52,17,1009
2,52,3,11
1,53,17,1018
2,53,3,12
1,54,17,1148
2,54,3,127
1,55,20,1046
2,55,3,11
1,56,20,1016
2,56,3,25
1,57,20,1018
2,57,3,12
1,58,20,1045
2,58,3,11
1,59,20,1008
2,59,3,23
1,60,20,1022
2,60,3,24
1,61,20,1021
2,61,3,12
1,62,20,1025
2,62,3,11
1,63,22,1024
2,63,3,12
1,64,22,1016
2,64,3,13
1,65,27,1011
