Poczatek gry. (27.10.2015 1:16)
Gracz,Tura,Dochod,Czas
1,1,3,224
2,1,3,22
1,2,3,90
2,2,3,16
1,3,5,30
2,3,3,17
1,4,5,184
2,4,3,8
1,5,5,754
2,5,3,13
1,6,5,487
2,6,3,17
1,7,5,93
2,7,3,16
1,8,5,76
2,8,3,12
1,9,5,100
2,9,3,18
1,10,5,107
2,10,3,16
1,11,5,252
2,11,3,16
1,12,5,156
2,12,3,16
1,13,5,607
2,13,3,17
1,14,5,783
2,14,3,15
1,15,5,286
2,15,3,7
1,16,5,650
2,16,3,17
1,17,5,216
2,17,3,15
1,18,5,190
2,18,3,17
1,19,5,373
2,19,3,17
1,20,5,577
2,20,3,17
1,21,5,1042
2,21,3,7
1,22,5,653
2,22,3,15
1,23,5,821
2,23,6,17
1,24,5,572
2,24,3,10
1,25,5,884
2,25,3,16
1,26,5,933
2,26,3,15
1,27,5,926
2,27,3,17
1,28,5,888
2,28,3,17
1,29,5,663
2,29,3,18
1,30,12,429
2,30,3,13
1,31,12,524
2,31,3,17
1,32,12,420
2,32,3,17
1,33,12,265
2,33,3,16
1,34,12,178
2,34,6,16
1,35,17,187
2,35,6,8
1,36,17,123
2,36,3,8
1,37,17,216
2,37,3,10
1,38,17,546
2,38,3,8
1,39,17,356
2,39,3,8
1,40,17,249
2,40,3,17
1,41,19,155
2,41,3,16
1,42,19,157
2,42,3,17
1,43,19,117
2,43,3,16
1,44,19,108
2,44,3,11
1,45,19,180
2,45,3,7
1,46,17,186
2,46,3,17
1,47,19,189
2,47,3,17
1,48,19,121
2,48,3,17
1,49,19,107
2,49,3,17
1,50,19,85
2,50,3,17
1,51,19,85
2,51,3,17
1,52,22,36
