Poczatek gry. (27.10.2015 4:27)
Gracz,Tura,Dochod,Czas
1,1,3,1014
2,1,3,30
1,2,3,1007
2,2,3,23
1,3,5,1009
2,3,3,10
1,4,5,1004
2,4,3,11
1,5,5,1006
2,5,3,21
1,6,5,1016
2,6,3,25
1,7,5,1006
2,7,3,11
1,8,5,1004
2,8,3,12
1,9,5,1006
2,9,3,20
1,10,5,1027
2,10,3,11
1,11,5,1005
2,11,3,10
1,12,5,1014
2,12,3,22
1,13,5,1014
2,13,3,13
1,14,5,1051
2,14,3,46
1,15,5,1004
2,15,3,9
1,16,5,1005
2,16,3,9
1,17,5,1005
2,17,3,21
1,18,5,1012
2,18,3,20
1,19,12,1016
2,19,3,12
1,20,5,1015
2,20,3,9
1,21,5,1015
2,21,3,13
1,22,5,1014
2,22,3,31
1,23,5,1008
2,23,3,21
1,24,5,1007
2,24,3,12
1,25,5,1007
2,25,3,12
1,26,5,1006
2,26,3,9
1,27,5,1004
2,27,3,20
1,28,5,1013
2,28,3,9
1,29,5,1004
2,29,3,20
1,30,5,1016
2,30,3,10
1,31,12,1005
2,31,3,21
1,32,12,1006
2,32,3,21
1,33,12,1014
2,33,3,21
1,34,5,1014
2,34,3,11
1,35,5,1007
2,35,3,21
1,36,5,1006
2,36,3,10
1,37,10,1013
2,37,3,16
1,38,10,1005
2,38,6,14
1,39,10,1005
2,39,6,9
1,40,15,1017
2,40,6,10
1,41,15,1005
2,41,3,9
1,42,15,1005
2,42,3,10
1,43,15,1004
2,43,3,10
1,44,15,1004
2,44,3,10
1,45,15,1004
2,45,3,10
1,46,15,1015
2,46,3,10
1,47,15,1005
2,47,3,10
1,48,15,1144
2,48,3,115
1,49,18,1005
2,49,3,9
1,50,18,1004
2,50,3,9
1,51,20,1006
2,51,3,20
1,52,20,1013
2,52,3,10
1,53,20,1054
2,53,3,22
1,54,20,1026
2,54,3,30
1,55,27,1013
